word,transliteration,meaning
language,/ˈlæŋɡwɪdʒ/,ngôn ngữ
together,/təˈɡeðər/,cùng nhau
begin,/bɪˈɡɪn/,bắt đầu
program,/ˈproʊɡræm/,chương trình
agree,/əˈɡriː/,đồng ý
recognise,/ˈrekəɡnaɪz/,nhận ra
english,/ˈɪŋɡlɪʃ/,tiếng Anh
hello,/həˈloʊ/,xin chào
world,/wɜːrld/,thế giới
computer,/kəmˈpjuːtər/,máy tính
student,/ˈstuːdnt/,học sinh, sinh viên
teacher,/ˈtiːtʃər/,giáo viên, thầy cô
school,/skuːl/,trường học
dictionary,/ˈdɪkʃəneri/,từ điển
vocabulary,/vəˈkæbjəleri/,từ vựng
learning,/ˈlɜːrnɪŋ/,học tập
time,/taɪm/,thời gian
year,/jɪr/,năm
day,/deɪ/,ngày
way,/weɪ/,đường đi, cách thức
man,/mæn/,đàn ông
woman,/ˈwʊmən/,phụ nữ
child,/tʃaɪld/,trẻ em
life,/laɪf/,cuộc sống
system,/ˈsɪstəm/,hệ thống
work,/wɜːrk/,công việc, làm việc
company,/ˈkʌmpəni/,công ty
number,/ˈnʌmbər/,con số
group,/ɡruːp/,nhóm
problem,/ˈprɑːbləm/,vấn đề
government,/ˈɡʌvərnmənt/,chính phủ
part,/pɑːrt/,phần, bộ phận
place,/pleɪs/,nơi chốn, địa điểm
case,/keɪs/,trường hợp
week,/wiːk/,tuần
point,/pɔɪnt/,điểm, quan điểm
home,/hoʊm/,nhà, gia đình
water,/ˈwɔːtər/,nước
room,/ruːm/,phòng, căn phòng
mother,/ˈmʌðər/,mẹ
father,/ˈfɑːðər/,bố, cha
friend,/frend/,bạn bè
area,/ˈeriə/,khu vực
money,/ˈmʌni/,tiền bạc
story,/ˈstɔːri/,câu chuyện
month,/mʌnθ/,tháng
book,/bʊk/,sách, quyển sách
eye,/aɪ/,mắt
job,/dʒɑːb/,công việc
study,/ˈstʌdi/,học tập, nghiên cứu
business,/ˈbɪznəs/,kinh doanh, doanh nghiệp
issue,/ˈɪʃuː/,vấn đề, sự kiện
side,/saɪd/,phía, cạnh
kind,/kaɪnd/,loại, tử tế
head,/hed/,đầu
house,/haʊs/,ngôi nhà
service,/ˈsɜːrvɪs/,dịch vụ
power,/ˈpaʊər/,quyền lực, sức mạnh
hour,/ˈaʊər/,giờ, tiếng đồng hồ
game,/ɡeɪm/,trò chơi
line,/laɪn/,đường thẳng, hàng
end,/end/,kết thúc
member,/ˈmembər/,thành viên
law,/lɔː/,luật pháp
car,/kɑːr/,xe hơi, ô tô
city,/ˈsɪti/,thành phố
community,/kəˈmjuːnəti/,cộng đồng
name,/neɪm/,tên
president,/ˈprezɪdənt/,tổng thống, chủ tịch
team,/tiːm/,đội, nhóm
minute,/ˈmɪnɪt/,phút
idea,/aɪˈdiːə/,ý tưởng
body,/ˈbɑːdi/,cơ thể
information,/ˌɪnfərˈmeɪʃn/,thông tin
parent,/ˈperənt/,cha mẹ
face,/feɪs/,khuôn mặt
level,/ˈlevl/,cấp độ, trình độ
office,/ˈɑːfɪs/,văn phòng
door,/dɔːr/,cửa ra vào
health,/helθ/,sức khỏe
person,/ˈpɜːrsn/,người, cá nhân
art,/ɑːrt/,nghệ thuật
