char,hanviet,pinyin
上,['thướng'],shang3
上,['thượng'],shang4
丌,['cơ'],ji1
丌,['kỳ'],qi2
中,['trung'],zhong1
中,['trúng'],zhong4
丼,['đảm'],dong4
丼,['tỉnh'],jing3
乀,"['phật', 'phất']",fu2
乀,[],pie3
乇,['thác'],tuo1
乇,['trách'],zhe2
乘,['thừa'],cheng2
乘,['thặng'],sheng4
乜,['khiết'],nie4
乜,['mị'],mie1
乹,"['càn', 'kiền']",qian2
乹,['can'],gan1
乾,"['càn', 'kiền']",qian2
乾,['can'],gan1
了,['liễu'],le5
了,['liễu'],liao3
予,['dư'],yu2
予,['dữ'],yu3
亟,['gấp'],ji2
亟,['khí'],qi4
亹,"['mên', 'môn']",men2
亹,"['vỉ', 'vĩ']",wei3
什,['thậm'],shen2
什,['thập'],shi2
仇,['cừu'],qiu2
仇,['thù'],chou2
仔,['tể'],zai3
仔,['tử'],zi1
仔,['tử'],zi3
令,['lệnh'],ling2
令,['lệnh'],ling3
令,['lệnh'],ling4
任,['nhâm'],ren2
任,['nhiệm'],ren4
伝,['truyền'],chuan2
伝,[],yun2
伯,['bá'],ba4
伯,['bách'],bai3
伯,['bá'],bo2
伺,"['tứ', 'tí']",ci4
伺,"['tứ', 'tí']",si4
似,"['tự', 'tựa']",shi4
似,"['tự', 'tựa']",si4
佚,['dật'],yi4
佚,['điệt'],die2
作,['tác'],zuo1
作,['tác'],zuo4
侗,['động'],dong4
侗,"['đồng', 'thống', 'thông']",tong2
供,['cung'],gong1
供,['cúng'],gong4
俛,['miễn'],mian3
俛,['phủ'],fu3
俞,"['du', 'dũ']",yu2
俞,[],shu4
倒,['đảo'],dao3
倒,['đáo'],dao4
倞,['kính'],jing4
倞,['lượng'],liang4
假,[],gei1
假,['giả'],jia3
假,['giá'],jia4
偈,['kệ'],ji4
偈,['khế'],jie2
傀,['khôi'],gui1
傀,['quỷ'],kui3
傳,['truyền'],chuan2
傳,['truyện'],zhuan4
僂,['lâu'],lou2
僂,['lũ'],lu:3
僮,['tráng'],zhuang4
僮,['đồng'],tong2
價,['giá'],jia4
價,['giới'],jie5
免,['miễn'],mian3
免,['vấn'],wen4
兒,['nhi'],er2
兒,['nhi'],r5
冠,['quán'],guan4
冠,['quan'],guan1
分,['phân'],fen1
分,"['phận', 'phần']",fen4
切,"['tiếp', 'thiết']",qie1
切,['thiết'],qie4
刱,"['thương', 'sang']",chuang1
刱,['sáng'],chuang4
刷,"['xoát', 'loát']",shua1
刷,"['xoát', 'loát']",shua4
刺,"['thích', 'thứ']",ci1
刺,"['thích', 'thứ']",ci4
削,['tước'],xiao1
削,['tước'],xue1
剎,['sát'],cha4
剎,['sa'],sha1
剝,['bác'],bao1
剝,['bác'],bo1
創,"['thương', 'sang']",chuang1
創,['sáng'],chuang4
劄,"['trát', 'tráp']",zha1
劄,"['trát', 'tráp']",zha2
勁,"['kình', 'cứng', 'kính']",jin4
